objid,ra,dec,z,zerr,class,subclass,plate,mjd,fiberid,dist_comov,x,y,z_coord
1237667444582056419,185.998550823751,28.7322633252246,0.634852,0.0001777395,GALAXY,,5976,56356,777,2381.46940941738,-2076.8182965050014,-218.22928994998634,1144.8136478487463
1237667444045250959,186.061529283418,28.1936807269083,0.5597966,0.0001853287,GALAXY,,5976,56356,779,2143.73332123593,-1878.8278388073911,-199.51293481416104,1012.814441811243
1237665330926780616,186.86119925745,32.9309556189978,0.3405282,9.767291e-05,GALAXY,,1971,53472,341,1384.2075312348036,-1153.48147699589,-138.79408347728867,752.4939695082141
1237665330389844048,186.611405315858,32.5462892400167,0.1499689,3.804783e-05,GALAXY,,1971,53472,345,640.6718615520987,-536.4674220960375,-62.17962003547338,344.6691661093396
1237665227306106950,186.744402091117,32.7191901085547,0.1742535,3.205712e-05,GALAXY,,1971,53472,349,739.8448904340635,-618.1461291117604,-73.1011762947335,399.9025418647206
1237665226769170494,186.564118415477,32.4191190448007,0.03061453,1.071615e-05,GALAXY,STARFORMING,1971,53472,351,134.67400353872878,-112.93968009025588,-12.995896469211646,72.19987926043729
1237665226769170520,186.647774326649,32.4381248711887,0.04148682,2.187347e-05,GALAXY,,1971,53472,352,182.028764807958,-152.59413598668039,-17.784695690530665,97.63813537334993
1237665226769236129,186.755037551155,32.3943751598533,0.1224173,3.631032e-05,GALAXY,,1971,53472,353,526.5984042477385,-441.5627333654727,-52.3017608032562,282.1218844328742
1237665330389778539,186.487943708224,32.5657843849308,0.1201366,2.591299e-05,GALAXY,,1971,53472,355,517.0814591714202,-432.99189930193353,-49.24090389058942,278.32819465836917
1237665226769236042,186.682055019897,32.4618466010379,0.1539346,1.798561e-05,GALAXY,,1971,53472,356,656.9549969148487,-550.5398369641359,-64.49876544508804,352.6126275999642
1237665330389844058,186.622222845987,32.6897126135086,0.04907196,1.20212e-05,GALAXY,STARFORMING,1971,53472,357,214.91827952752496,-179.67010297679255,-20.85916347207867,116.07504585665781
1237665331463913590,187.627042478084,33.3652067128677,0.4048941,0.0002171618,GALAXY,,1971,53472,361,1617.5622674313522,-1339.0069548923695,-179.30494942060713,889.6166583876419
1237665227843174598,187.321802064477,33.2662849510169,0.280689,6.51375e-05,GALAXY,,1971,53472,362,1159.2648855392645,-961.3928530053233,-123.5291134627649,635.8926129164829
1237665331463979115,187.672413631075,33.3461309972275,0.2275545,5.542188e-05,GALAXY,,1971,53472,364,952.9854569083598,-788.9638189725224,-106.2853097909532,523.8518935288571
1237665228380110917,187.450823505922,33.5593731147074,0.1204076,2.22705e-05,GALAXY,,1971,53472,365,518.2128841634275,-428.1875768360669,-55.998126397471594,286.4685012286831
1237665331463979049,187.665609901646,33.4229589840548,0.07580337,3.777072e-05,GALAXY,,1971,53472,368,329.85134714816047,-272.8426503298067,-36.72302771792283,181.68714487186975
1237665331463847997,187.355773601362,33.479695693233,0.03100531,1.193078e-05,GALAXY,STARFORMING,1971,53472,369,136.3803789990779,-112.81618305204448,-14.563721478378907,75.23306875437105
1237665227843174532,187.332066080059,33.1395585528231,0.1217903,2.735419e-05,GALAXY,,1971,53472,370,523.9831736964202,-435.1652372682376,-55.99351099021751,286.45123375059796
1237665330926977139,187.364931579063,33.1001443168784,0.1510418,3.192891e-05,GALAXY,,1971,53472,374,645.080570371357,-535.9368157705183,-69.27250744700939,352.2811256431386
1237665330926911701,187.268276250626,33.0651267968679,0.06152633,5.635539e-06,GALAXY,STARBURST,1971,53472,377,268.65609890544573,-223.33835800334438,-28.484624269163948,146.57661308580978
1237665227843174566,187.391096618065,33.2163424574834,0.1617471,1.502711e-05,GALAXY,STARFORMING,1971,53472,378,688.9325339949601,-571.5776021992049,-74.14465353029662,377.3985312819813
1237665227843174494,187.269363026896,33.2818504617787,0.1545639,3.595669e-05,GALAXY,,1971,53472,379,659.5357399601776,-546.927808078342,-69.76583811030042,361.9255349767499
1237665227306238154,187.089341649338,32.773620268073,0.1740576,3.045083e-05,GALAXY,,1971,53472,381,739.0500394877074,-616.65434651556,-76.69187006788945,400.0634135430777
1237665330389975160,186.966261257529,32.6769062671791,0.1516949,1.009205e-05,GALAXY,STARFORMING,1971,53472,383,647.7630264959871,-541.2154708713679,-66.1294267317072,349.72796786196585
1237665227306238085,187.054099525948,32.7513671468164,0.1512863,2.978608e-05,GALAXY,,1971,53472,385,646.0849062594098,-539.2612754684861,-66.72987390745273,349.5284062914305
1237665330926911705,187.283344808548,32.9458722928585,0.1440847,3.780689e-05,GALAXY,,1971,53472,386,616.4481096936262,-513.1398018838502,-65.58311893549245,335.2531434276807
1237665330926911672,187.223186070398,32.9636331877433,0.1735365,3.41466e-05,GALAXY,,1971,53472,387,736.9353025922189,-613.3936835296167,-77.74184115188775,400.9713647468712
1237665330390040622,187.116306220129,32.6606457290113,0.1219631,8.665221e-06,GALAXY,STARFORMING,1971,53472,388,524.7040114809453,-438.3358446351463,-54.72430467581154,283.1629167986828
1237665330389909626,186.906534309689,32.5369628050713,0.1516597,2.918622e-05,GALAXY,,1971,53472,391,647.6184744455279,-542.0095204056764,-65.6530786141177,348.31744357877045
1237665227306172501,186.881653203439,32.8089472552974,0.1616886,3.512808e-05,GALAXY,,1971,53472,395,688.6935820249136,-574.6644967011136,-69.35534328798032,373.1613625644655
1237665330390040704,187.159418030127,32.5619340487277,0.1745642,3.879621e-05,GALAXY,,1971,53472,399,741.1053622634644,-619.7411744444382,-77.84559599367854,398.8710291037418
1237665226769367056,187.075720650019,32.425156389181,0.04201401,1.047947e-05,GALAXY,STARFORMING,1971,53472,400,184.31862285469097,-154.39710517022155,-19.164738026721665,98.83117657132532
1237665227843371048,187.7797576306,33.1807383122473,0.07610217,7.205615e-06,GALAXY,STARBURST,1971,53472,403,331.1274240837684,-274.5857092430368,-37.514737820238906,181.2200422307892
1237665228380242185,187.952945583298,33.6248189866788,0.2947993,1.846061e-05,GALAXY,STARFORMING,1971,53472,405,1213.0077348061068,-1000.3344173787634,-139.75017473457575,671.705818620464
1237665228380241972,187.928137534919,33.5874295750483,0.03122575,1.147401e-05,GALAXY,STARFORMING,1971,53472,410,137.3428080611147,-113.31884283780701,-15.78101429857789,75.97924961277697
1237665227843436590,188.002311873562,33.2965703110039,0.07881949,6.90068e-06,GALAXY,STARFORMING,1971,53472,414,342.7234192665253,-283.67258196794745,-39.87925373257224,188.14583034207735
1237665330927173749,187.841041036671,33.0540826185958,0.1722623,3.015975e-05,GALAXY,,1971,53472,416,731.7618182527493,-607.5962182980616,-83.67376100094766,399.1251631786956
1237665331464044637,187.845809438946,33.349099607965,0.136108,1.64642e-05,GALAXY,,1971,53472,417,583.4894854721631,-482.84746683387704,-66.53521153628972,320.7668453168108
1237665331463979077,187.719450685927,33.4501711096964,0.07588717,1.273886e-05,GALAXY,STARFORMING,1971,53472,418,330.209248815096,-273.01839640564606,-37.007917980209406,182.0151566048542
1237665226769563798,187.677502500629,32.4447148985895,0.3848122,9.577996e-05,GALAXY,,1971,53472,421,1545.7045120615642,-1292.741417587401,-174.2686434571831,829.2481569284245
1237665330390237262,187.664532224906,32.5240118792551,0.04242841,1.18443e-05,GALAXY,STARFORMING,1971,53472,425,186.11816321133523,-155.52653657103642,-20.929985480961815,100.06699159636021
1237665330926977072,187.413160734457,32.9126505651127,0.02243109,6.796755e-06,GALAXY,STARBURST,1971,53472,426,98.86659892758706,-82.30476268883652,-10.70874702866314,53.72013737248593
1237665330927043075,187.618921519865,32.9030139485146,0.3329397,0.0001306033,GALAXY,,1971,53472,427,1356.1108179074006,-1128.527240939125,-150.95702256051877,736.664641640596
1237665227306303663,187.388375927825,32.7943173596394,0.243379,4.281485e-05,GALAXY,,1971,53472,430,1015.0656093866171,-846.2001922576845,-109.72764936710071,549.7847478303237
1237665226769498609,187.493630908559,32.4643706221279,0.4292943,0.0001201224,GALAXY,,1971,53472,431,1703.726356329366,-1425.20023718214,-187.46999965699064,914.5177857296802
1237665330390171722,187.533233594616,32.5195635468925,0.1432073,2.775008e-05,GALAXY,,1971,53472,434,612.8296047753944,-512.2827716667872,-67.74562193295158,329.44956677992167
1237665330926977114,187.289964632471,32.9226923968712,0.173814,4.771973e-05,GALAXY,,1971,53472,435,738.0615318223846,-614.5244209264113,-78.61299596465719,401.1415681608235
1237665227306369503,187.566872228278,32.7309556998517,0.392328,0.0001349102,GALAXY,,1971,53472,436,1572.697927107077,-1311.4622865240406,-174.21471635479816,850.3497360248014
1237665228380373138,188.272060626761,33.5315701597157,0.03128681,6.177667e-06,GALAXY,STARBURST,1971,53472,441,137.60937462336705,-113.51521813522454,-16.50355148854652,76.01491974745126
1237665228380373263,188.143665472405,33.6974204052875,0.4101043,0.0001263503,GALAXY,,1971,53472,442,1636.0661818606413,-1347.4467894650365,-192.81788812678573,907.7009215632368
1237665228380373145,188.286257418109,33.6394642984426,0.1737285,3.600222e-05,GALAXY,,1971,53472,443,737.7145494361614,-607.7650111100273,-88.51445484850473,408.6681281958491
1237665331464110130,188.026541791112,33.4194934217411,0.1741643,1.986588e-05,GALAXY,,1971,53472,444,739.4829779113824,-611.1706788412677,-86.18316798146307,407.2811528932673
1237665331464110603,188.186481589988,33.4540358712522,0.4024907,-1.0,GALAXY,,1971,53472,446,1609.0073257573963,-1328.7607356990086,-191.15733896582333,886.9939984944109
1237665227843502543,188.219900603513,33.2370668079571,0.3286119,0.0001465026,GALAXY,,1971,53472,449,1340.0313260529906,-1109.3009160667561,-160.24601912446175,734.477124062795
1237665331464110622,188.189179396041,33.4098363378403,0.5440792,0.0002575576,GALAXY,,1971,53472,451,2092.5600136289245,-1728.95990621263,-248.81363417050295,1152.2138815336177
